species;decimallat;decimallon
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.79336;4.170540000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;51.10873;4.107070000000000
Papilio machaon;50.88578;3.888520000000000
Papilio machaon;50.84393;3.248560000000000
Papilio machaon;50.97904;3.106830000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.75414;2.822790000000000
Papilio machaon;51.32448;4.829880000000000
Papilio machaon;51.14976;4.465500000000000
Papilio machaon;51.10804;4.178470000000000
Papilio machaon;50.87509;4.812220000000000
Papilio machaon;51.01204;4.674990000000000
Papilio machaon;51.05699;4.676610000000000
Papilio machaon;50.88721;3.675290000000000
Papilio machaon;51.10193;4.678240000000000
Papilio machaon;51.10088;4.749620000000000
Papilio machaon;50.97904;3.106830000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;50.97904;3.106830000000000
Papilio machaon;50.75414;2.822790000000000
Papilio machaon;50.79802;3.532110000000000
Papilio machaon;50.83227;4.668550000000000
Papilio machaon;51.27472;5.114660000000000
Papilio machaon;50.92957;4.031660000000000
Papilio machaon;51.18613;5.039050000000000
Papilio machaon;50.83832;4.171670000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;50.93386;3.249040000000000
Papilio machaon;51.13727;5.251330000000000
Papilio machaon;51.26770;5.472750000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;51.06857;3.321120000000000
Papilio machaon;50.75306;3.531600000000000
Papilio machaon;51.31965;5.116730000000000
Papilio machaon;50.74608;4.381980000000000
Papilio machaon;50.74690;4.311130000000000
Papilio machaon;50.96997;4.459830000000000
Papilio machaon;51.10873;4.107070000000000
Papilio machaon;50.74690;4.311130000000000
Papilio machaon;50.77357;5.446590000000000
Papilio machaon;51.01204;4.674990000000000
Papilio machaon;51.31965;5.116730000000000
Papilio machaon;51.09866;4.892370000000000
Papilio machaon;51.15867;2.749740000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;50.87618;4.741190000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;50.92112;4.742870000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;50.74522;4.452830000000000
Papilio machaon;51.18486;5.110540000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;51.15889;3.107250000000000
Papilio machaon;50.83227;4.668550000000000
Papilio machaon;51.10873;4.107070000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;50.83832;4.171670000000000
Papilio machaon;51.14788;4.608420000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;51.06809;3.463840000000000
Papilio machaon;50.84406;2.822450000000000
Papilio machaon;51.11000;3.964240000000000
Papilio machaon;51.11000;3.964240000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.92957;4.031660000000000
Papilio machaon;51.11057;3.892830000000000
Papilio machaon;51.36828;4.903460000000000
Papilio machaon;51.13443;5.394140000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;50.79336;4.170540000000000
Papilio machaon;51.18613;5.039050000000000
Papilio machaon;51.13727;5.251330000000000
Papilio machaon;50.88760;3.604210000000000
Papilio machaon;50.75414;2.822790000000000
Papilio machaon;51.15299;4.179620000000000
Papilio machaon;50.75271;3.602480000000000
Papilio machaon;51.15867;2.749740000000000
Papilio machaon;50.78832;4.596040000000000
Papilio machaon;50.79802;3.532110000000000
Papilio machaon;50.79802;3.532110000000000
Papilio machaon;50.84393;3.248560000000000
Papilio machaon;50.79910;2.822620000000000
Papilio machaon;51.20363;3.250490000000000
Papilio machaon;51.09979;4.820990000000000
Papilio machaon;51.13443;5.394140000000000
Papilio machaon;51.22979;5.112600000000000
Papilio machaon;51.02248;3.605970000000000
Papilio machaon;51.04741;5.246970000000000
Papilio machaon;51.10873;4.107070000000000
Papilio machaon;51.11353;2.678560000000000
Papilio machaon;51.23965;4.468350000000000
Papilio machaon;50.75271;3.602480000000000
Papilio machaon;50.75271;3.602480000000000
Papilio machaon;50.92957;4.031660000000000
Papilio machaon;51.20363;3.250490000000000
Papilio machaon;51.13443;5.394140000000000
Papilio machaon;51.01204;4.674990000000000
Papilio machaon;51.00761;4.959930000000000
Papilio machaon;50.87618;4.741190000000000
Papilio machaon;51.22979;5.112600000000000
Papilio machaon;50.75414;2.822790000000000
Papilio machaon;50.84376;2.680420000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;50.79336;4.170540000000000
Papilio machaon;50.78172;5.021400000000000
Papilio machaon;50.74522;4.452830000000000
Papilio machaon;51.14242;4.965640000000000
Papilio machaon;50.79802;3.532110000000000
Papilio machaon;51.13443;5.394140000000000
Papilio machaon;51.13727;5.251330000000000
Papilio machaon;50.78832;4.596040000000000
Papilio machaon;51.10088;4.749620000000000
Papilio machaon;51.10088;4.749620000000000
Papilio machaon;50.78832;4.596040000000000
Papilio machaon;51.13443;5.394140000000000
Papilio machaon;50.75414;2.822790000000000
Papilio machaon;50.83680;4.313650000000000
